age,job,marital,education,default,balance,housing,loan,y
0_35,technician,single,tertiary,no,980_max,yes,no,no
0_35,management,single,tertiary,no,175_979,yes,no,no
47_max,blue-collar,married,primary,no,min_174,no,no,no
0_35,blue-collar,married,primary,no,min_174,yes,no,no
0_35,entrepreneur,single,primary,yes,min_174,yes,yes,no
47_max,admin.,married,unknown,no,980_max,yes,no,yes
36_46,blue-collar,divorced,primary,no,175_979,no,no,yes
36_46,technician,single,secondary,no,175_979,yes,no,no
36_46,technician,single,secondary,no,min_174,no,no,no
0_35,technician,married,tertiary,no,980_max,yes,no,yes
47_max,blue-collar,married,secondary,no,980_max,yes,no,no
47_max,admin.,married,secondary,no,980_max,yes,no,no
47_max,management,married,secondary,no,min_174,no,yes,no
0_35,self-employed,single,tertiary,no,980_max,no,no,no
36_46,retired,single,secondary,no,min_174,yes,yes,no
47_max,technician,divorced,secondary,no,175_979,yes,yes,no
36_46,blue-collar,married,primary,no,min_174,no,yes,no
47_max,retired,married,secondary,no,175_979,yes,no,no
47_max,management,married,tertiary,no,980_max,no,no,no
47_max,services,married,secondary,no,980_max,no,no,no
47_max,admin.,married,secondary,no,980_max,no,no,no
47_max,blue-collar,divorced,secondary,no,175_979,yes,no,no
0_35,services,married,secondary,no,175_979,yes,no,no
0_35,technician,married,secondary,no,175_979,yes,no,no
36_46,management,married,secondary,no,min_174,no,yes,no
0_35,technician,single,tertiary,no,175_979,no,no,no
36_46,management,married,tertiary,no,min_174,no,no,yes
36_46,entrepreneur,divorced,tertiary,yes,min_174,yes,no,no
0_35,management,single,tertiary,no,980_max,yes,no,no
36_46,services,married,tertiary,no,175_979,yes,no,no
47_max,retired,married,secondary,no,175_979,yes,no,no
47_max,management,divorced,tertiary,no,980_max,no,no,no
36_46,blue-collar,divorced,secondary,no,175_979,yes,no,no
36_46,technician,single,secondary,no,175_979,no,yes,no
47_max,blue-collar,divorced,primary,no,175_979,no,no,no
36_46,unemployed,married,secondary,no,175_979,yes,no,no
0_35,admin.,divorced,secondary,no,175_979,yes,no,yes
47_max,retired,married,primary,no,min_174,no,no,no
0_35,admin.,single,secondary,no,175_979,yes,yes,no
47_max,services,married,secondary,no,175_979,no,no,yes
36_46,management,married,tertiary,no,980_max,no,no,yes
47_max,blue-collar,married,primary,no,980_max,yes,no,no
36_46,technician,single,secondary,no,175_979,no,yes,no
36_46,blue-collar,single,primary,no,175_979,yes,no,no
36_46,admin.,married,secondary,no,175_979,yes,no,no
0_35,blue-collar,married,secondary,no,980_max,yes,no,no
36_46,blue-collar,married,primary,no,min_174,no,no,no
0_35,blue-collar,married,primary,no,175_979,yes,no,no
0_35,services,single,secondary,no,min_174,yes,no,yes
0_35,management,single,tertiary,no,980_max,no,no,no
47_max,blue-collar,married,secondary,no,980_max,no,no,no
36_46,unknown,single,tertiary,no,980_max,no,no,no
36_46,admin.,married,tertiary,no,980_max,yes,no,no
0_35,admin.,single,tertiary,no,175_979,no,no,no
36_46,blue-collar,divorced,secondary,no,980_max,no,no,no
0_35,unemployed,single,primary,no,175_979,no,no,yes
36_46,blue-collar,married,secondary,no,min_174,yes,no,no
36_46,management,single,tertiary,no,175_979,yes,no,no
47_max,technician,married,secondary,no,980_max,no,no,no
47_max,services,single,primary,no,980_max,yes,no,no
0_35,management,single,secondary,no,175_979,no,no,no
0_35,management,single,tertiary,no,175_979,yes,no,no
36_46,blue-collar,married,secondary,no,175_979,yes,yes,no
0_35,self-employed,married,tertiary,no,175_979,yes,no,no
47_max,unemployed,married,primary,no,980_max,no,no,yes
0_35,housemaid,married,primary,no,min_174,yes,no,no
0_35,student,single,secondary,no,980_max,no,no,yes
47_max,management,married,tertiary,no,980_max,yes,no,no
0_35,self-employed,married,secondary,no,175_979,yes,yes,no
0_35,blue-collar,single,secondary,no,min_174,no,no,no
0_35,student,single,secondary,no,175_979,no,no,yes
0_35,technician,single,secondary,no,175_979,no,yes,yes
0_35,services,married,secondary,no,980_max,yes,no,no
0_35,admin.,single,secondary,no,980_max,no,yes,no
36_46,blue-collar,married,primary,no,min_174,no,no,no
47_max,management,divorced,tertiary,no,min_174,no,no,no
0_35,admin.,divorced,secondary,no,980_max,yes,no,no
36_46,blue-collar,married,primary,no,175_979,no,no,no
0_35,technician,married,secondary,no,980_max,yes,no,no
36_46,blue-collar,married,secondary,no,min_174,no,yes,no
47_max,management,single,tertiary,yes,min_174,yes,no,no
0_35,self-employed,single,tertiary,no,175_979,no,no,yes
0_35,unemployed,single,secondary,no,min_174,no,no,no
36_46,technician,single,secondary,no,175_979,no,yes,no
0_35,blue-collar,single,secondary,no,175_979,no,no,no
47_max,retired,divorced,tertiary,no,980_max,no,no,yes
36_46,blue-collar,married,primary,no,min_174,yes,no,no
36_46,blue-collar,married,primary,no,min_174,yes,no,no
36_46,blue-collar,married,unknown,yes,min_174,yes,no,no
47_max,admin.,married,unknown,no,min_174,yes,no,no
0_35,technician,single,secondary,no,175_979,yes,no,no
0_35,management,single,tertiary,no,min_174,no,no,no
0_35,admin.,single,secondary,no,175_979,yes,yes,no
0_35,management,single,tertiary,no,min_174,no,no,no
47_max,management,married,tertiary,no,min_174,yes,no,yes
47_max,management,married,unknown,no,980_max,no,no,no
0_35,management,divorced,tertiary,no,175_979,no,no,no
0_35,management,single,tertiary,no,min_174,yes,no,no
47_max,services,divorced,unknown,no,980_max,yes,no,no
0_35,management,single,tertiary,no,175_979,yes,no,no
36_46,admin.,married,secondary,no,175_979,yes,yes,no
36_46,management,married,tertiary,no,min_174,no,yes,no
47_max,retired,married,primary,no,980_max,no,yes,no
47_max,technician,married,secondary,no,980_max,yes,no,no
47_max,admin.,married,secondary,no,175_979,yes,no,no
36_46,technician,single,unknown,no,175_979,yes,no,no
36_46,entrepreneur,married,unknown,no,min_174,yes,no,no
36_46,management,single,tertiary,no,175_979,yes,yes,no
36_46,unemployed,divorced,primary,yes,min_174,yes,yes,no
47_max,entrepreneur,married,secondary,no,980_max,no,no,no
36_46,technician,married,secondary,no,175_979,no,no,no
36_46,technician,divorced,secondary,no,175_979,no,no,no
47_max,admin.,married,secondary,no,175_979,no,no,yes
47_max,technician,married,secondary,no,175_979,yes,no,no
0_35,self-employed,single,secondary,no,min_174,no,no,no
0_35,technician,married,secondary,no,980_max,yes,no,no
0_35,blue-collar,married,tertiary,no,min_174,no,no,no
0_35,admin.,single,secondary,no,980_max,yes,no,no
36_46,admin.,single,secondary,no,min_174,no,yes,no
36_46,services,married,secondary,no,175_979,yes,yes,no
0_35,management,single,tertiary,no,min_174,no,no,yes
0_35,admin.,single,secondary,no,980_max,yes,no,no
47_max,housemaid,married,secondary,no,175_979,no,no,no
36_46,blue-collar,divorced,secondary,no,980_max,yes,no,no
47_max,technician,married,tertiary,no,175_979,no,no,no
0_35,blue-collar,single,secondary,no,980_max,yes,yes,no
36_46,technician,married,secondary,no,980_max,no,no,no
36_46,management,single,tertiary,no,min_174,no,no,no
36_46,admin.,single,secondary,no,175_979,yes,yes,no
0_35,admin.,married,secondary,no,980_max,yes,no,no
36_46,management,married,tertiary,no,980_max,no,no,no
36_46,admin.,married,secondary,no,min_174,yes,yes,no
36_46,admin.,married,secondary,no,980_max,yes,yes,no
36_46,admin.,married,secondary,no,175_979,yes,no,no
36_46,unknown,married,unknown,no,980_max,no,no,no
36_46,admin.,married,tertiary,no,min_174,yes,no,no
0_35,technician,single,tertiary,no,min_174,yes,yes,no
0_35,services,single,secondary,no,min_174,no,yes,no
0_35,admin.,single,secondary,no,980_max,yes,no,no
36_46,admin.,divorced,secondary,no,min_174,no,no,no
0_35,services,married,secondary,no,min_174,yes,no,no
0_35,self-employed,married,tertiary,no,980_max,yes,no,no
0_35,admin.,married,tertiary,no,175_979,yes,no,no
36_46,services,single,secondary,no,min_174,yes,no,no
36_46,technician,married,secondary,no,min_174,yes,no,no
47_max,retired,married,secondary,no,min_174,yes,no,yes
47_max,blue-collar,married,primary,no,min_174,yes,yes,no
0_35,self-employed,married,secondary,no,175_979,yes,no,no
0_35,management,single,tertiary,no,980_max,no,no,no
36_46,services,married,secondary,no,980_max,no,no,no
0_35,student,single,secondary,no,980_max,no,no,no
47_max,retired,divorced,secondary,no,min_174,yes,no,no
0_35,blue-collar,single,secondary,no,980_max,yes,no,no
36_46,services,married,secondary,no,min_174,no,yes,no
36_46,technician,married,tertiary,no,175_979,no,no,no
47_max,retired,married,secondary,no,980_max,no,no,yes
0_35,technician,single,tertiary,no,980_max,yes,no,no
47_max,technician,married,secondary,no,980_max,no,no,no
36_46,technician,single,tertiary,no,980_max,yes,no,yes
36_46,management,divorced,tertiary,no,980_max,yes,no,no
0_35,blue-collar,single,tertiary,no,175_979,no,no,yes
36_46,technician,single,tertiary,no,min_174,yes,no,no
36_46,technician,married,secondary,no,980_max,yes,yes,no
0_35,technician,married,secondary,no,980_max,yes,no,no
36_46,services,single,secondary,no,min_174,yes,no,no
47_max,retired,married,secondary,no,980_max,no,no,no
36_46,technician,single,secondary,no,980_max,yes,no,no
0_35,blue-collar,single,secondary,no,min_174,yes,no,no
36_46,technician,married,tertiary,no,175_979,yes,no,no
47_max,self-employed,married,secondary,no,980_max,no,no,no
0_35,management,married,tertiary,yes,min_174,no,no,no
36_46,management,married,tertiary,no,175_979,yes,no,yes
36_46,technician,married,secondary,no,980_max,no,no,no
0_35,blue-collar,married,secondary,no,175_979,yes,no,no
47_max,blue-collar,married,primary,no,175_979,yes,yes,no
47_max,services,married,secondary,no,175_979,no,no,no
47_max,retired,married,tertiary,no,min_174,yes,no,no
36_46,technician,married,secondary,no,980_max,yes,no,no
47_max,blue-collar,married,primary,no,175_979,no,no,no
36_46,self-employed,married,primary,no,175_979,no,no,no
47_max,management,married,primary,no,980_max,yes,no,no
0_35,services,single,secondary,no,175_979,yes,no,no
0_35,technician,married,secondary,no,min_174,no,no,no
0_35,technician,married,secondary,no,175_979,yes,no,no
36_46,blue-collar,married,primary,no,min_174,yes,no,no
36_46,technician,married,tertiary,no,min_174,yes,yes,no
47_max,unknown,married,secondary,no,min_174,no,no,no
36_46,entrepreneur,married,tertiary,no,980_max,no,no,no
36_46,technician,single,secondary,no,min_174,yes,no,no
36_46,blue-collar,single,secondary,no,min_174,yes,no,no
0_35,student,single,secondary,no,980_max,no,no,no
47_max,technician,divorced,secondary,yes,min_174,no,no,no
0_35,blue-collar,married,secondary,no,980_max,yes,no,no
47_max,technician,married,unknown,no,175_979,yes,no,no
47_max,housemaid,married,primary,no,980_max,no,no,no
47_max,unemployed,married,tertiary,no,980_max,yes,no,no
0_35,admin.,single,secondary,no,min_174,yes,no,no
47_max,self-employed,married,tertiary,no,980_max,no,no,no
36_46,management,married,tertiary,no,980_max,no,no,no
0_35,admin.,married,secondary,no,min_174,yes,yes,no
47_max,blue-collar,married,secondary,no,175_979,yes,no,no
36_46,management,married,tertiary,no,min_174,yes,no,no
36_46,management,married,secondary,no,min_174,yes,no,no
0_35,unemployed,single,secondary,no,min_174,no,no,no
36_46,management,married,tertiary,no,175_979,yes,no,no
36_46,technician,married,secondary,no,min_174,no,yes,no
0_35,management,married,tertiary,no,175_979,yes,no,no
0_35,management,married,tertiary,no,980_max,no,no,no
47_max,blue-collar,divorced,primary,no,175_979,no,yes,no
47_max,retired,married,primary,no,980_max,yes,no,no
47_max,blue-collar,married,primary,no,175_979,no,no,no
47_max,blue-collar,married,secondary,no,980_max,yes,yes,no
0_35,management,married,tertiary,no,175_979,no,yes,no
0_35,unemployed,single,secondary,no,min_174,no,no,no
36_46,technician,divorced,tertiary,no,980_max,yes,no,no
0_35,blue-collar,single,secondary,no,175_979,no,yes,yes
47_max,housemaid,married,secondary,no,175_979,yes,yes,no
0_35,technician,single,secondary,no,min_174,no,no,no
36_46,technician,single,tertiary,no,980_max,no,no,no
47_max,entrepreneur,married,tertiary,no,175_979,no,yes,no
47_max,technician,married,tertiary,no,175_979,no,no,no
36_46,self-employed,married,secondary,no,980_max,yes,yes,no
0_35,student,single,secondary,no,175_979,yes,no,no
0_35,technician,married,tertiary,no,min_174,yes,yes,no
36_46,admin.,single,secondary,no,175_979,yes,no,no
47_max,services,divorced,secondary,no,980_max,no,no,no
36_46,services,married,secondary,no,min_174,yes,no,no
0_35,blue-collar,single,secondary,no,175_979,yes,yes,yes
47_max,management,married,secondary,no,980_max,no,no,no
36_46,self-employed,married,secondary,no,175_979,yes,no,no
36_46,blue-collar,single,tertiary,no,min_174,yes,no,no
0_35,technician,married,secondary,no,min_174,yes,no,no
36_46,housemaid,married,tertiary,no,980_max,no,no,no
36_46,technician,single,tertiary,no,min_174,no,no,no
47_max,blue-collar,married,primary,no,980_max,no,no,no
47_max,blue-collar,divorced,primary,no,min_174,yes,no,no
47_max,self-employed,married,tertiary,no,175_979,no,no,no
0_35,blue-collar,married,secondary,no,980_max,yes,no,no
36_46,blue-collar,single,secondary,no,980_max,yes,no,no
36_46,admin.,divorced,secondary,no,min_174,no,no,no
36_46,student,married,secondary,no,175_979,no,no,no
0_35,technician,single,tertiary,no,980_max,yes,no,no
47_max,admin.,married,secondary,no,980_max,yes,no,no
0_35,self-employed,married,secondary,no,min_174,yes,no,no
36_46,management,married,tertiary,no,min_174,yes,no,no
0_35,admin.,married,tertiary,no,min_174,no,yes,yes
47_max,blue-collar,married,primary,no,980_max,yes,no,yes
47_max,blue-collar,married,secondary,no,175_979,yes,no,no
47_max,services,married,secondary,no,980_max,no,no,no
47_max,technician,divorced,secondary,no,min_174,yes,yes,no
47_max,management,married,tertiary,no,980_max,no,no,no
47_max,entrepreneur,divorced,unknown,yes,min_174,yes,no,yes
0_35,management,married,tertiary,no,175_979,no,no,no
36_46,blue-collar,divorced,primary,no,min_174,yes,no,yes
36_46,entrepreneur,married,secondary,no,175_979,yes,yes,yes
0_35,blue-collar,married,secondary,no,175_979,yes,no,yes
47_max,retired,divorced,primary,no,980_max,no,no,no
47_max,retired,divorced,primary,no,980_max,no,no,no
47_max,blue-collar,married,secondary,no,175_979,yes,no,no
36_46,blue-collar,married,secondary,no,980_max,yes,no,no
47_max,management,married,unknown,no,175_979,no,yes,no
47_max,technician,married,secondary,no,175_979,no,yes,no
47_max,entrepreneur,married,secondary,no,175_979,yes,no,yes
36_46,unemployed,married,primary,no,980_max,yes,yes,no
36_46,management,married,tertiary,no,980_max,yes,no,no
36_46,admin.,married,tertiary,no,175_979,no,no,no
47_max,blue-collar,married,secondary,no,980_max,yes,yes,no
47_max,management,married,unknown,no,175_979,no,no,no
36_46,blue-collar,single,primary,no,min_174,yes,no,no
36_46,management,married,tertiary,no,min_174,no,yes,no
0_35,admin.,single,tertiary,no,175_979,yes,no,yes
0_35,blue-collar,married,primary,no,980_max,yes,no,no
47_max,blue-collar,married,secondary,no,175_979,no,no,no
47_max,admin.,married,primary,no,175_979,no,yes,no
36_46,entrepreneur,married,secondary,no,980_max,no,no,yes
0_35,unemployed,single,secondary,no,980_max,no,no,no
36_46,admin.,married,unknown,no,980_max,no,no,no
36_46,blue-collar,married,secondary,no,min_174,no,no,no
47_max,self-employed,single,tertiary,no,175_979,no,yes,no
36_46,management,married,tertiary,no,980_max,no,no,yes
47_max,blue-collar,married,primary,no,175_979,yes,yes,no
0_35,technician,married,secondary,no,980_max,no,no,no
47_max,unemployed,married,secondary,no,980_max,no,yes,no
36_46,entrepreneur,single,tertiary,no,min_174,yes,no,yes
36_46,unemployed,married,secondary,no,175_979,no,no,yes
47_max,admin.,single,secondary,no,980_max,yes,no,no
36_46,admin.,married,secondary,no,min_174,no,no,no
0_35,technician,single,tertiary,no,175_979,yes,no,no
0_35,admin.,married,secondary,no,175_979,yes,no,no
0_35,services,married,primary,no,175_979,yes,no,yes
0_35,management,single,tertiary,no,175_979,no,no,yes
47_max,management,divorced,tertiary,no,175_979,no,yes,no
0_35,blue-collar,married,primary,no,min_174,no,no,no
0_35,management,single,tertiary,no,980_max,yes,no,no
47_max,retired,married,primary,no,980_max,no,no,no
47_max,self-employed,divorced,primary,no,980_max,no,no,no
36_46,management,married,tertiary,no,175_979,yes,yes,no
47_max,retired,married,tertiary,no,175_979,no,no,no
47_max,management,single,tertiary,no,min_174,no,yes,no
36_46,self-employed,single,tertiary,no,980_max,yes,no,no
36_46,management,single,unknown,no,175_979,yes,no,no
36_46,blue-collar,single,secondary,no,175_979,yes,yes,no
47_max,management,married,tertiary,no,980_max,no,no,no
47_max,management,married,primary,no,980_max,no,no,yes
36_46,admin.,married,secondary,no,min_174,yes,yes,no
47_max,self-employed,married,tertiary,no,980_max,yes,no,no
0_35,blue-collar,married,secondary,no,980_max,yes,no,no
36_46,management,married,tertiary,yes,min_174,yes,no,no
36_46,management,married,tertiary,no,175_979,no,yes,no
47_max,management,married,tertiary,no,min_174,no,no,no
0_35,management,married,tertiary,no,175_979,yes,no,no
0_35,services,single,secondary,no,175_979,yes,no,no
47_max,services,married,secondary,no,175_979,yes,no,no
0_35,management,single,unknown,no,980_max,no,no,no
47_max,admin.,divorced,secondary,no,980_max,no,no,yes
0_35,student,single,secondary,no,980_max,yes,no,no
36_46,management,single,tertiary,no,175_979,no,no,no
36_46,blue-collar,married,primary,no,min_174,yes,yes,no
47_max,housemaid,married,primary,no,175_979,yes,no,no
47_max,blue-collar,married,secondary,no,980_max,yes,no,no
36_46,management,married,tertiary,no,980_max,no,no,no
0_35,student,single,secondary,no,175_979,no,no,no
36_46,technician,single,secondary,no,min_174,yes,no,no
0_35,management,single,tertiary,no,980_max,yes,no,no
47_max,technician,single,primary,no,980_max,no,no,yes
0_35,entrepreneur,married,secondary,no,175_979,yes,no,no
47_max,housemaid,married,tertiary,no,175_979,no,no,no
47_max,retired,married,primary,no,min_174,no,no,no
36_46,services,married,secondary,no,min_174,no,no,no
47_max,technician,married,secondary,no,min_174,yes,no,no
36_46,admin.,married,secondary,no,min_174,yes,no,no
0_35,services,single,secondary,no,min_174,yes,no,no
36_46,management,married,primary,no,175_979,yes,no,no
36_46,management,married,tertiary,no,175_979,yes,no,yes
47_max,technician,divorced,primary,no,980_max,yes,no,no
0_35,services,single,secondary,no,175_979,yes,no,no
36_46,blue-collar,married,secondary,no,min_174,yes,no,no
36_46,blue-collar,married,primary,no,980_max,yes,no,no
47_max,retired,married,tertiary,no,980_max,no,no,yes
36_46,services,married,secondary,no,980_max,yes,no,no
36_46,blue-collar,married,primary,no,min_174,yes,no,no
36_46,blue-collar,married,primary,no,min_174,no,no,no
47_max,management,married,tertiary,no,980_max,no,no,no
47_max,technician,married,secondary,no,175_979,yes,no,no
0_35,blue-collar,married,secondary,no,980_max,no,no,no
36_46,services,married,secondary,no,min_174,yes,no,no
0_35,management,single,tertiary,no,980_max,yes,no,no
0_35,blue-collar,single,primary,no,min_174,yes,yes,no
47_max,retired,married,unknown,no,980_max,no,no,no
36_46,technician,married,secondary,no,min_174,no,no,no
0_35,blue-collar,married,secondary,no,min_174,yes,no,no
36_46,technician,married,secondary,no,175_979,yes,no,no
0_35,admin.,married,secondary,no,175_979,yes,no,no
36_46,technician,single,tertiary,no,980_max,no,no,no
36_46,blue-collar,married,primary,no,min_174,yes,yes,no
36_46,blue-collar,married,primary,no,980_max,yes,no,no
36_46,technician,divorced,tertiary,no,980_max,yes,no,no
0_35,blue-collar,single,secondary,no,175_979,no,yes,yes
0_35,blue-collar,single,secondary,no,min_174,no,no,no
47_max,retired,married,primary,yes,min_174,no,yes,no
47_max,blue-collar,married,secondary,no,175_979,no,no,no
36_46,self-employed,married,secondary,no,980_max,yes,no,no
36_46,technician,married,tertiary,no,175_979,yes,no,no
36_46,technician,married,secondary,no,min_174,no,no,no
36_46,management,married,secondary,no,175_979,yes,no,no
47_max,admin.,married,secondary,no,min_174,no,no,yes
47_max,management,married,tertiary,no,175_979,no,no,no
0_35,blue-collar,single,secondary,no,175_979,no,no,no
47_max,retired,divorced,tertiary,no,980_max,yes,no,yes
36_46,management,married,tertiary,no,min_174,no,no,no
47_max,blue-collar,married,secondary,no,980_max,no,no,no
47_max,management,divorced,tertiary,no,175_979,no,no,yes
0_35,services,single,secondary,no,980_max,no,no,no
36_46,blue-collar,single,primary,no,980_max,no,no,no
36_46,self-employed,married,secondary,no,min_174,yes,yes,no
47_max,technician,married,secondary,no,980_max,yes,yes,no
36_46,admin.,divorced,secondary,no,980_max,yes,no,no
36_46,management,married,tertiary,no,175_979,yes,no,no
0_35,technician,single,tertiary,no,980_max,yes,no,no
36_46,management,single,tertiary,no,175_979,yes,no,no
36_46,services,single,secondary,no,175_979,yes,no,no
0_35,blue-collar,single,primary,no,175_979,yes,no,no
36_46,blue-collar,married,primary,no,175_979,yes,yes,no
0_35,technician,married,tertiary,no,980_max,yes,no,no
0_35,blue-collar,married,secondary,no,980_max,yes,no,no
36_46,management,married,tertiary,no,175_979,yes,no,no
47_max,management,married,primary,no,980_max,no,no,no
0_35,management,married,tertiary,no,min_174,yes,no,no
0_35,technician,single,tertiary,no,175_979,yes,no,no
36_46,blue-collar,married,secondary,no,min_174,no,no,no
47_max,management,married,tertiary,no,175_979,no,yes,no
47_max,entrepreneur,divorced,tertiary,no,min_174,no,no,no
0_35,self-employed,married,tertiary,no,175_979,yes,no,no
0_35,admin.,single,secondary,no,175_979,yes,no,no
36_46,management,married,secondary,no,175_979,yes,no,no
36_46,management,married,tertiary,no,min_174,yes,no,no
36_46,admin.,divorced,tertiary,no,980_max,yes,no,no
0_35,admin.,single,secondary,no,175_979,yes,no,no
36_46,technician,single,secondary,no,175_979,no,no,no
0_35,management,married,tertiary,no,980_max,yes,no,yes
47_max,retired,married,secondary,no,175_979,no,no,no
0_35,blue-collar,married,secondary,no,980_max,yes,no,no
0_35,technician,married,secondary,no,980_max,yes,no,no
47_max,retired,married,tertiary,no,980_max,no,no,no
47_max,admin.,married,secondary,no,min_174,no,no,no
36_46,entrepreneur,married,tertiary,no,min_174,yes,no,no
36_46,technician,married,secondary,no,980_max,yes,no,yes
36_46,admin.,divorced,secondary,no,min_174,yes,no,no
0_35,technician,married,secondary,no,980_max,yes,yes,no
0_35,blue-collar,married,secondary,no,min_174,yes,no,no
36_46,management,married,tertiary,no,175_979,no,no,no
36_46,blue-collar,married,secondary,no,min_174,yes,no,no
0_35,self-employed,single,tertiary,no,980_max,no,no,yes
0_35,services,single,secondary,no,175_979,no,yes,no
36_46,technician,single,secondary,no,175_979,no,no,no
36_46,management,divorced,tertiary,no,min_174,no,no,no
47_max,unemployed,married,tertiary,no,175_979,no,no,no
47_max,blue-collar,married,secondary,no,175_979,yes,no,no
36_46,management,divorced,tertiary,no,min_174,no,no,no
36_46,blue-collar,divorced,secondary,no,980_max,yes,no,no
0_35,blue-collar,married,secondary,no,175_979,yes,no,yes
47_max,housemaid,married,secondary,no,min_174,no,no,no
0_35,self-employed,married,secondary,no,min_174,yes,no,no
36_46,management,married,tertiary,no,min_174,yes,no,no
36_46,management,single,secondary,no,980_max,yes,no,no
36_46,blue-collar,single,primary,no,980_max,yes,no,no
36_46,management,married,tertiary,no,980_max,yes,no,no
47_max,self-employed,married,secondary,no,min_174,yes,no,no
36_46,entrepreneur,married,secondary,yes,min_174,yes,no,no
47_max,admin.,married,secondary,no,980_max,no,no,yes
36_46,management,married,tertiary,no,175_979,yes,no,no
47_max,blue-collar,married,primary,no,175_979,yes,no,no
47_max,blue-collar,married,secondary,no,min_174,yes,no,no
47_max,retired,married,tertiary,no,980_max,no,no,yes
36_46,services,married,secondary,no,980_max,yes,no,no
47_max,blue-collar,married,secondary,no,980_max,yes,no,no
36_46,management,single,unknown,no,175_979,yes,no,no
47_max,management,single,secondary,no,175_979,yes,no,no
36_46,technician,married,secondary,no,175_979,yes,no,no
36_46,management,married,tertiary,no,min_174,no,no,no
47_max,management,married,tertiary,no,min_174,yes,no,no
47_max,housemaid,married,primary,no,min_174,yes,no,no
47_max,services,divorced,secondary,yes,min_174,yes,no,no
47_max,blue-collar,married,primary,no,175_979,yes,no,no
47_max,blue-collar,single,primary,no,980_max,yes,no,no
0_35,management,married,tertiary,no,175_979,yes,no,no
47_max,blue-collar,married,unknown,no,175_979,yes,no,no
0_35,services,divorced,secondary,no,980_max,yes,no,no
47_max,admin.,married,secondary,no,980_max,no,no,yes
47_max,admin.,married,secondary,no,min_174,no,no,yes
36_46,technician,single,secondary,no,175_979,yes,no,yes
47_max,management,divorced,tertiary,no,980_max,yes,no,no
47_max,housemaid,married,secondary,no,980_max,yes,no,no
0_35,technician,single,secondary,no,980_max,yes,yes,no
36_46,technician,single,secondary,no,175_979,no,yes,no
36_46,management,single,tertiary,no,175_979,yes,no,no
0_35,management,single,tertiary,no,980_max,no,no,no
47_max,admin.,married,secondary,no,min_174,yes,yes,no
0_35,management,married,tertiary,no,min_174,no,no,no
0_35,student,single,primary,no,min_174,no,no,yes
36_46,management,married,tertiary,no,980_max,no,no,no
0_35,unemployed,married,secondary,no,175_979,yes,no,no
47_max,self-employed,single,primary,no,175_979,no,yes,no
36_46,self-employed,divorced,tertiary,no,175_979,yes,no,no
36_46,blue-collar,single,secondary,no,175_979,yes,no,no
0_35,blue-collar,single,secondary,no,175_979,no,no,yes
36_46,blue-collar,married,secondary,no,min_174,yes,yes,no
0_35,management,married,tertiary,no,175_979,yes,no,no
47_max,technician,married,secondary,no,175_979,yes,no,yes
47_max,management,divorced,tertiary,no,min_174,yes,no,no
36_46,management,married,tertiary,no,min_174,yes,no,no
